id	definition	parent	term
http://nomenclature.info/nom/14897	Objects originally created to serve a purpose that cannot be identified at the time the object is cataloged.		Category 10: Unclassifiable Objects
http://nomenclature.info/nom/14898		http://nomenclature.info/nom/14897	Unclassifiable Objects (blank Class)
http://nomenclature.info/nom/14899		http://nomenclature.info/nom/14898	Unclassifiable Objects (blank sub-class)
http://nomenclature.info/nom/14924		http://nomenclature.info/nom/14899	Material Sample
http://nomenclature.info/nom/14926		http://nomenclature.info/nom/14924	Quid
http://nomenclature.info/nom/14925		http://nomenclature.info/nom/14924	Ecofact
http://nomenclature.info/nom/14923		http://nomenclature.info/nom/14899	Unidentified Object
http://nomenclature.info/nom/14908		http://nomenclature.info/nom/14899	Worked Material
http://nomenclature.info/nom/14922		http://nomenclature.info/nom/14908	Uniface
http://nomenclature.info/nom/14921		http://nomenclature.info/nom/14908	Shatter
http://nomenclature.info/nom/14920		http://nomenclature.info/nom/14908	Preform
http://nomenclature.info/nom/14914		http://nomenclature.info/nom/14908	Flake
http://nomenclature.info/nom/14919		http://nomenclature.info/nom/14914	Spall
http://nomenclature.info/nom/14918		http://nomenclature.info/nom/14914	Tertiary Flake
http://nomenclature.info/nom/14917		http://nomenclature.info/nom/14914	Secondary Flake
http://nomenclature.info/nom/14916		http://nomenclature.info/nom/14914	Primary Flake
http://nomenclature.info/nom/14915		http://nomenclature.info/nom/14914	Modified Flake
http://nomenclature.info/nom/14913		http://nomenclature.info/nom/14908	Debitage
http://nomenclature.info/nom/14912		http://nomenclature.info/nom/14908	Core
http://nomenclature.info/nom/14910		http://nomenclature.info/nom/14908	Blank
http://nomenclature.info/nom/14911		http://nomenclature.info/nom/14910	Mood
http://nomenclature.info/nom/14909		http://nomenclature.info/nom/14908	Biface
http://nomenclature.info/nom/14907		http://nomenclature.info/nom/14899	Hoard
http://nomenclature.info/nom/14900		http://nomenclature.info/nom/14899	Fragment
http://nomenclature.info/nom/14902		http://nomenclature.info/nom/14900	Sherd
http://nomenclature.info/nom/14906		http://nomenclature.info/nom/14902	Rim Sherd
http://nomenclature.info/nom/14905		http://nomenclature.info/nom/14902	Body Sherd
http://nomenclature.info/nom/14904		http://nomenclature.info/nom/14902	Base Sherd
http://nomenclature.info/nom/14903		http://nomenclature.info/nom/14902	Potsherd
http://nomenclature.info/nom/14901		http://nomenclature.info/nom/14900	Scrap
http://nomenclature.info/nom/14135	Objects created to be used as toys or to carry on the activities of games, sports, gambling, or public entertainment.		Category 09: Recreational Objects
