image_id	resnet_label1	resnet_label2	resnet_label3	resnet_score1	resnet_score2	resnet_score3	resnet_time
NMAH-RWS2014-02463	barbershop	book_jacket	cash_machine	0.38690397	0.1454182	0.036396123	3.377318293000002
NMAH-AHB2017q051349	projector	printer	guillotine	0.37576947	0.30129722	0.08393039	0.16329459600000007
NMAH-AHB2016q019017	medicine_chest	sewing_machine	oboe	0.13158885	0.06620689	0.06389948	0.16119438200000147
NMAH-AHB2012q01865	puck	CD_player	hard_disc	0.7288406	0.103096016	0.04923004	0.1626062920000031
NMAH-JN2013-1822	pill_bottle	whiskey_jug	syringe	0.94986624	0.012156484	0.0119855935	0.15661895799999925
NMAH-JN2015-5610	padlock	safe	analog_clock	0.12704915	0.11010996	0.08441956	0.16342698000000055
NMAH-JN2014-3275	radio	scale	loudspeaker	0.060840342	0.051904835	0.04994589	0.16169580499999725
NMAH-AHB2009q05302	switch	Polaroid_camera	radio	0.1526136	0.08538489	0.08248171	0.15520305099999732
NMAH-AHB2017q033241	running_shoe	iron	English_springer	0.4946539	0.09315293	0.035603415	0.16558291200000141
NMAH-AHB2013q098487	hip	pomegranate	hair_slide	0.48234054	0.14722092	0.07640052	0.15930877199999927
NMAH-AHB2017q051639	toilet_tissue	spotlight	switch	0.16675211	0.106856085	0.060563385	0.15067291900000157
NMAH-AHB2017q007325	web_site	television	bow_tie	0.23798247	0.12200016	0.110325746	0.15435120400000102
NMAH-ET2016-02410	strainer	space_heater	ashcan	0.7124087	0.18440898	0.026418326	0.1549978799999998
NMAH-AHB2017q055305	packet	slide_rule	envelope	0.09931834	0.09874813	0.079207726	0.153388752999998
NMAH-AHB2013q094281	bow	quill	nail	0.20023985	0.089412846	0.07935009	0.15305777800000087
NMAH-ET2012-13954	rifle	revolver	syringe	0.33169198	0.20883253	0.06902971	0.15659501100000028
NMAH-AHB2012q50169	puck	CD_player	hard_disc	0.7378871	0.18021275	0.058691993	0.15192570900000035
NMAH-AHB2006q25469	book_jacket	packet	comic_book	0.9459086	0.015275665	0.013280134	0.1523526490000009
NMAH-AHB2013q090018	letter_opener	cleaver	paintbrush	0.95284456	0.009103828	0.00867234	0.15524894300000014
NMAH-ET2012-14008	revolver	assault_rifle	rifle	0.9995478	0.00023258028	0.00014622521	0.15451325400000115
NMAH-AHB2014q102079	cup	soup_bowl	vase	0.55190283	0.12071456	0.07066114	0.16476631500000138
NMAH-AHB2006q22312	book_jacket	comic_book	packet	0.877359	0.055748414	0.030308124	0.162486616999999
NMAH-AHB2013q092155	letter_opener	cleaver	screwdriver	0.7629067	0.19413705	0.014568655	0.16144344399999966
